PSRJ |beta|
J1728-3733 14.2857
J1729-2117 1.9563
J1730-2304 0.1889
J1730-2900 5.7433
J1730-3350 10.5638
J1730-3353 10.6092
J1730-34 11.523
J1731-1847 4.4773
J1731-3123 8.113
J1731-33 10.5063
J1731-3322 10.0919
J1732-1930 3.7802
J1732-3131 8.2243
J1732-3426 11.137
J1732-35 11.781
J1732-3729 14.181
J1733-2228 0.821
J1733-2533 2.2519
J1733-2837 5.32
J1733-3030 7.2017
J1733-3322 10.0532
J1733-3716 13.968
J1734-2415 0.9428
J1734-2859 5.6876
J1734-3058 7.6575
J1734-3333 10.2361
J1735-3258 9.6401
J1736-2457 1.6308
J1736-2819 4.9956
J1736-2843 5.3951
J1736-3422 11.0324
J1736-3511 11.8634
J1737-3102 7.6885
J1737-3137 8.2813
J1737-3320 9.9954
J1737-3555 12.5792
J1738-2330 0.1687
J1738-2647 3.4499
J1738-2736 4.2591
J1738-2955 6.5778
J1738-3107 7.7739
J1738-3211 8.8416
J1738-3316 9.9123
J1739-1313 10.1314
J1739-2521 2.0083
J1739-2903 5.6908
J1739-3023 7.0256
J1739-3049 7.4683
J1739-3131 8.1608
J1739-3159 8.6335
J1740-2540 2.3051
J1740-3015 6.8941
J1740-3052 7.4975
J1740-3327 10.0959
J1741-0840 14.6869
J1741-2019 3.0433
J1741-2054 2.47
J1741-21 2.3661
J1741-2719 3.9493
J1741-2733 4.1943
J1741-2945 6.3871
J1741-3016 6.9032
J1741-34 10.9371
J1742-3321 9.9703
J1743-1351 9.5215
J1743-2442 1.3307
J1743-3150 8.4504
J1743-3153 8.4977
J1743-35 12.1456
J1744-1134 11.8052
J1744-1610 7.2108
J1744-2335 0.2052
J1744-3130 8.1091
J1745-0952 13.5131
J1745-2229 0.9086
J1745-23 0.0192
J1745-2758 4.5763
J1745-2900 5.6082
J1745-2910 5.7687
J1745-2912 5.8077
J1745-3040 7.2709
J1745-3812 14.8011
J1746-2849 5.4349
J1746-2850 5.4425
J1746-2856 5.5435
J1746-3239 9.2579
J1747-1030 12.9062
J1747-2647 3.3782
J1747-2802 4.6346
J1747-2809 4.7454
J1747-2958 6.5583
J1748-1300 10.3953
J1748-2021A 3.0531
J1748-2021B 3.0533
J1748-2021C 3.049
J1748-2021D 3.062
J1748-2021E 3.0559
J1748-2021F 3.0531
J1748-2444 1.329
J1748-2446A 1.3658
J1748-2446C 1.3654
J1748-2446D 1.3679
J1748-2446E 1.3679
J1748-2446F 1.3679
J1748-2446G 1.3679
J1748-2446H 1.3679
J1748-2446I 1.3679
J1748-2446J 1.3679
J1748-2446K 1.3679
J1748-2446L 1.3679
J1748-2446M 1.3679
J1748-2446N 1.3679
J1748-2446O 1.3679
J1748-2446P 1.3679
J1748-2446Q 1.3679
J1748-2446R 1.3679
J1748-2446S 1.3679
J1748-2446T 1.3679
J1748-2446U 1.3679
J1748-2446V 1.3679
J1748-2446W 1.3679
J1748-2446X 1.3679
J1748-2446Y 1.3679
J1748-2446Z 1.3679
J1748-2446aa 1.3679
J1748-2446ab 1.3679
J1748-2446ac 1.3679
J1748-2446ad 1.3679
J1748-2446ae 1.3679
J1748-2446af 1.3679
J1748-2446ag 1.3679
J1748-2446ah 1.3679
J1748-2446ai 1.3679
J1748-2446aj 1.365
J1748-2446ak 1.366
J1748-2446al 1.3558
J1748-2446am 1.3685
J1748-2446an 1.367
J1748-30 6.8712
J1748-3009 6.7393
J1749-2146 1.6412
J1749-2347 0.3717
J1749-2629 3.0696
J1749-3002 6.6257
J1750-2043 2.7013
J1750-2438 1.2261
J1750-2444 1.3253
J1750-2536 2.1901
J1750-28 5.3296
J1750-3157 8.5388
J1750-3503 11.6287
J1750-3703A 13.6308
J1750-3703B 13.6342
J1750-3703C 13.6293
