PSRJ lambda beta
J1308-4650 -143.9532 -36.0774
J1308-5844 -135.9468 -46.3527
J1309-6415 -130.9949 -50.8117
J1309-6526 -129.8938 -51.76
J1311-1228 -158.6932 -4.4875
J1311-3430 -149.6936 -24.7596
J1312+0051 -163.546 7.9205
J1312+1810A -170.6445 23.8479
J1312+1810B -170.6445 23.8479
J1312+1810C -170.6445 23.8479
J1312+1810D -170.6445 23.8479
J1312-5402 -138.8094 -42.1007
J1312-5516 -137.8108 -43.0996
J1312-6400 -130.8394 -50.4253
J1313+0931 -166.8368 15.9864
J1314-6101 -133.1562 -47.8295
J1316-6232 -131.5141 -48.9189
J1317-0157 -161.4923 5.7304
J1317-5759 -135.0365 -45.0577
J1317-6302 -130.9274 -49.2739
J1319-6056 -132.4789 -47.433
J1319-6105 -132.3455 -47.5464
J1320+67 145.4715 64.1195
J1320-3512 -147.6382 -24.678
J1320-5359 -137.3501 -41.3958
J1321+8323 106.7447 68.0287
J1321-5922 -133.3689 -45.9631
J1322-62 -130.3647 -48.7774
J1322-6241 -130.5466 -48.6755
J1322-6329 -129.8917 -49.3455
J1324-6146 -131.0078 -47.7597
J1324-6302 -130.0133 -48.8484
J1325-6253 -130.0153 -48.674
J1326+33 -175.5139 39.2037
J1326-4728A -140.2526 -35.2586
J1326-4728B -140.2294 -35.2343
J1326-4728C -140.2411 -35.2502
J1326-4728D -140.2411 -35.2502
J1326-4728E -140.2411 -35.2502
J1326-5859 -132.8404 -45.2719
J1326-6408 -128.7277 -49.6134
J1326-6700 -126.1357 -51.9685
J1327-0755 -156.7218 1.2047
J1327-6222 -130.1306 -48.1052
J1327-6301 -129.6167 -48.6489
J1327-6400 -128.7649 -49.4576
J1328-4357 -141.8676 -31.9731
J1328-4921 -138.8591 -36.7665
J1329+13 -164.8734 21.3537
J1329-6158 -130.1984 -47.6607
J1331-5245 -136.4053 -39.5902
J1332-03 -157.4433 5.7507
J1332-3032 -147.0191 -19.3365
J1333-4449 -140.3542 -32.3131
J1334+10 -162.042 18.5166
J1334-5839 -131.9099 -44.479
J1335-3642 -143.8379 -24.7777
J1335-5656 -133.0313 -42.9589
J1336+33 -173.306 40.1241
J1336-2522 -148.3361 -14.2632
J1337-4441 -139.7163 -31.9136
J1337-6306 -128.0926 -48.0829
J1337-6423 -127.0059 -49.1404
J1338-6204 -128.8001 -47.16
J1339-4712 -137.9657 -33.9898
J1339-6618 -125.0145 -50.587
J1340-6456 -126.1917 -49.4603
J1341-6023 -129.6308 -45.5421
J1341-6220 -128.0747 -47.1667
J1342+2822A -168.711 35.9244
J1342+2822B -168.67 35.9436
J1342+2822C -168.6676 35.9439
J1342+2822D -168.673 35.9411
J1342+2822E -168.6676 35.9439
J1342+2822F -168.6676 35.9439
J1343+6634 150.1454 65.6681
J1344-5855 -130.0985 -44.034
J1344-6059 -128.659 -45.8342
J1345-6115 -128.3016 -45.9962
J1346-4918 -135.6809 -35.4143
J1347-5947 -129.1159 -44.6347
J1348-6307 -126.4662 -47.4078
J1349-6130 -127.5473 -45.9715
J1349-63 -125.7449 -48.0668
J1350-5115 -133.9259 -36.8979
J1350-6225 -126.6982 -46.698
J1352-6803 -121.8337 -51.3461
J1354+2454 -163.9153 33.9567
J1354-6249 -125.8484 -46.8123
J1355-5153 -132.5757 -37.0854
J1355-5747 -129.1627 -42.3589
J1355-5925 -128.0421 -43.7686
J1355-6206 -126.2658 -46.1468
J1356-5521 -130.461 -40.1229
J1357-62 -125.7039 -46.3385
J1357-6429 -124.2337 -48.1009
J1358-2533 -143.4374 -12.5937
J1358-6025 -127.0602 -44.5215
J1359-6038 -126.6138 -44.5953
J1400+21 -160.6738 31.4024
J1400-1431 -146.8863 -2.1064
J1400-6325 -124.52 -46.9785
J1401-6357 -123.9673 -47.3764
J1402+13 -156.3619 24.0055
J1402-5021 -132.1671 -35.2302
J1403-0314 -150.0603 8.7388
J1403-6310 -124.355 -46.6193
J1403-7646 -111.6659 -57.8494
J1404+1159 -155.4895 23.0705
J1405-4656 -133.4134 -31.9388
J1405-5641 -128.2977 -40.7877
J1406-4233 -135.2564 -27.8601
J1406-5806 -127.3114 -42.0033
J1406-6121 -125.0988 -44.829
J1407-6048 -125.2884 -44.2868
J1407-6153 -124.5686 -45.2421
J1409-6953 -118.1842 -52.041
J1410-6132 -124.4522 -44.7837
J1410-7404 -114.0628 -55.45
J1411+2551 -160.0718 36.451
J1412+7922 117.3651 70.382
J1412-6111 -124.2921 -44.334
J1412-6145 -124.0485 -44.8827
J1413-6141 -123.9425 -44.7624
J1413-6205 -123.6236 -45.1032
J1413-6222 -123.4949 -45.3729
J1413-6307 -122.9205 -46.011
J1414-6802 -119.125 -50.2347
J1415-6621 -120.3141 -48.7211
J1416-5033 -129.6265 -34.5071
J1416-6037 -124.1219 -43.6414
J1417-4402 -132.4321 -28.4553
J1418-3921 -134.088 -23.9953
J1418-5945 -124.3587 -42.7393
J1418-6058 -123.5831 -43.8138
J1420-5416 -127.1167 -37.6757
J1420-5625 -126.0351 -39.6637
J1420-6048 -123.4684 -43.5936
J1421-4409 -131.6616 -28.2943
J1422-6138 -122.5973 -44.214
J1423-6953 -116.5182 -51.3958
J1424-5556 -125.6229 -38.9721
J1424-56 -125.1964 -39.6376
J1424-5822 -124.2284 -41.1724
J1424-6438 -120.2742 -46.7436
J1425-5723 -124.6104 -40.2147
J1425-5759 -124.2219 -40.7327
J1425-6210 -121.8745 -44.5434
J1426+52 -177.3735 60.5292
J1427-4158 -131.2977 -25.8435
J1428-5530 -125.1496 -38.3425
J1429-5911 -122.9186 -41.6078
J1429-5935 -122.772 -42.0051
J1430+22 -153.5551 35.0024
J1430-5712 -123.9619 -39.787
J1430-6623 -118.2928 -48.0109
J1431-4715 -128.4172 -30.5199
J1431-5740 -123.5884 -40.1638
J1431-6328 -122.7071 -46.3206
J1432-5032 -126.7848 -33.5
J1433+00 -144.1555 14.7384
J1433-6038 -121.5934 -42.7487
J1434+7257 137.1304 71.762
J1434-5943 -121.8466 -41.8272
J1434-6006 -121.768 -42.2186
J1434-6029 -121.4608 -42.542
J1435-5954 -121.7378 -41.9942
J1435-6100 -121.0586 -42.9771
J1437-5959 -121.388 -41.9523
J1437-6146 -120.3356 -43.56
J1439+7655 124.3011 72.0536
J1439-5501 -123.5344 -37.2618
J1440-6344 -118.6775 -45.189
J1441-6137 -119.7552 -43.2062
J1443-5122 -124.5565 -33.6637
J1444-5941 -120.3595 -41.2875
J1444-6026 -120.0615 -42.0058
J1446-4701 -125.7847 -29.4105
J1447-5757 -120.906 -39.575
J1449-5846 -120.1082 -40.2167
J1452-5851 -119.5298 -40.116
J1452-6036 -118.6402 -41.7373
J1453+1902 -145.7913 33.9046
J1453-6413 -116.5593 -45.0191
J1454-5846 -119.3636 -39.9806
J1455-3330 -128.6525 -16.0448
J1455-59 -118.9207 -40.4983
J1456-48 -123.6875 -29.797
J1456-6843 -113.4412 -49.0011
J1457-5122 -122.0671 -32.8947
J1457-5900 -118.7051 -40.0338
J1457-5902 -118.7138 -40.0583
J1459-6053 -117.4934 -41.6858
J1501-0046 -136.7944 15.7239
J1501-5637 -119.1426 -37.6088
J1502+28 -147.7831 43.1533
J1502+4653 -161.7798 59.7657
J1502-5653 -118.8457 -37.8028
J1502-5828 -118.1624 -39.2944
J1502-6128 -116.7449 -42.098
J1502-6752 -113.1952 -47.9779
J1503+2111 -143.9648 36.7461
J1504-5621 -118.7783 -37.2118
J1504-5659 -118.5489 -37.8161
J1505-25 -129.188 -7.3151
J1506-5158 -120.2683 -32.9863
J1507-4352 -123.0028 -25.2423
J1507-5800 -117.688 -38.6601
J1507-6640 -113.1907 -46.6761
J1509+5531 -171.9705 67.2167
J1509-5850 -116.9364 -39.3318
J1509-6015 -116.3408 -40.6627
J1510-4422 -122.2219 -25.5463
J1511-5414 -118.488 -34.8843
J1511-5835 -116.7901 -39.0152
J1512-5431 -118.3375 -35.1353
J1512-5759 -116.7952 -38.3878
J1513-2550 -127.1187 -7.6101
J1513-5739 -116.743 -38.0019
J1513-5908 -116.1082 -39.4025
J1513-5946 -115.8516 -40.0113
J1513-6013 -115.6251 -40.4255
J1514-4834 -120.1691 -29.3807
J1514-4946 -119.7351 -30.519
J1514-5316 -118.39 -33.8253
J1514-5925 -115.8146 -39.6318
J1515-5720 -116.6829 -37.6637
J1516-43 -121.4658 -24.2555
J1517-313 -124.6772 -12.6439
J1517-314 -124.6772 -12.6439
J1517-32 -124.5513 -13.7527
J1517-4356 -121.1012 -24.788
J1517-4636 -120.2401 -27.335
J1518+0204A -133.4102 19.6559
J1518+0204B -133.4171 19.6506
J1518+0204C -133.4093 19.6447
J1518+0204D -133.4078 19.6463
J1518+0204E -133.4049 19.6488
J1518+0204F -133.4078 19.6463
J1518+4904 -159.7256 63.0718
J1518-0627 -130.9291 11.4526
J1518-3952 -122.0464 -20.8095
J1518-5415 -117.408 -34.6045
J1519-5734 -115.8459 -37.6704
J1519-6106 -114.3571 -41.0232
J1519-6308 -113.482 -42.9401
J1522-5525 -116.3166 -35.531
J1522-5735 -115.4728 -37.5838
J1522-5829 -115.0086 -38.411
J1523-3235 -123.124 -13.5413
J1524-20 -125.8518 -2.2505
J1524-5625 -115.4855 -36.3651
J1524-5706 -115.296 -37.0377
J1524-5819 -114.8053 -38.1846
J1525-5417 -116.1772 -34.3047
J1525-5523 -115.7497 -35.3495
J1525-5545 -115.6317 -35.7104
J1525-5605 -115.4731 -36.0084
J1526-2744 -123.7572 -8.6706
J1526-5633 -115.1298 -36.4182
J1527-3931 -120.3605 -20.0081
J1527-5552 -115.2281 -35.7162
J1528-3146 -122.2989 -12.4756
J1528-4109 -119.8732 -21.5753
J1528-5547 -115.097 -35.5994
J1528-5838 -114.0489 -38.3175
J1529+40 -147.9828 56.9183
J1529-26 -123.6577 -6.8639
J1529-3828 -120.3948 -18.9331
J1529-5355 -115.5484 -33.7641
J1529-5611 -114.7934 -35.943
J1530-21 -124.6568 -1.9587
J1530-5327 -115.626 -33.3018
J1530-6343 -111.539 -43.0442
J1531-4012 -119.5492 -20.5107
J1531-5610 -114.4905 -35.8566
J1532+2745 -138.9392 45.1255
J1532-5308 -115.3728 -32.8934
J1532-56 -114.2253 -36.1579
J1534-4428 -117.6397 -24.4499
J1534-46 -117.268 -26.1865
J1534-5334 -114.9609 -33.2472
J1534-5405 -114.7121 -33.7304
J1535-4114 -118.4557 -21.3024
J1535-4415 -117.4991 -24.1913
J1535-5450 -114.2194 -34.3879
J1535-5848 -112.899 -38.2109
J1536+17 -133.6605 35.9686
J1536-30 -121.1643 -10.3725
J1536-3602 -119.61 -16.2305
J1536-4948 -115.7803 -29.5395
J1536-5433 -114.2991 -34.1087
J1536-5907 -112.6217 -38.4677
J1537+1155 -131.4472 30.3782
J1537-4912 -115.7737 -28.9005
J1537-5153 -114.977 -31.4951
J1537-5312 -114.4866 -32.7513
J1537-5645 -113.2429 -36.1441
J1538+2345 -135.408 41.7615
J1538-5438 -113.8114 -34.0784
J1538-5519 -113.6005 -34.7478
J1538-5551 -113.407 -35.2545
J1538-5621 -113.2364 -35.7402
J1538-5638 -113.2435 -36.0248
J1538-5732 -112.8872 -36.8835
J1538-5750 -112.8059 -37.1738
J1539-4828 -115.5884 -28.112
J1539-5521 -113.5173 -34.7525
J1539-5626 -113.1263 -35.7923
J1539-6322 -110.449 -42.416
J1540-5736 -112.4302 -36.8521
J1541+47 -150.1635 63.4198
J1541-42 -116.8789 -22.0423
J1541-5535 -112.9927 -34.8682
J1542-5034 -114.4192 -29.9968
J1542-5133 -114.1937 -30.9719
J1542-5303 -113.6285 -32.3971
J1543+0929 -128.95 28.4349
J1543-0620 -124.9139 13.0535
J1543-5013 -114.3028 -29.6233
J1543-5149 -113.8656 -31.1777
J1543-5459 -112.838 -34.2127
J1544+4937 -152.3452 65.8768
J1544-0713 -124.4861 12.2401
J1544-5308 -113.2438 -32.3965
J1545-4550 -115.1785 -25.2911
J1546-3747A -117.199 -17.4557
J1546-5302 -113.0835 -32.2495
J1546-5925 -110.9156 -38.39
J1547-0944 -123.0866 9.9877
J1547-5709 -111.5547 -36.17
J1547-5750 -111.3063 -36.8271
J1547-5839 -111.0167 -37.605
J1548-4821 -114.0406 -27.6337
J1548-4927 -113.7468 -28.7002
J1548-5607 -111.6749 -35.1298
J1549+2113 -131.0369 40.1353
J1549-4848 -113.743 -28.0275
J1549-57 -111.2148 -36.307
J1549-5722 -111.0973 -36.288
J1550-5242 -112.5097 -31.7716
J1550-5317 -112.3298 -32.3387
J1550-5418 -111.8832 -33.2923
J1551-0658 -122.8791 12.8691
J1551-4424 -114.446 -23.6548
J1551-5310 -112.0866 -32.1761
J1551-6214 -109.1171 -40.9143
J1552+5437 -157.3416 70.7051
J1552-4937 -113.0009 -28.7106
J1553-5456 -111.1736 -33.7875
J1554+18 -128.6036 37.3884
J1554-5209 -111.9039 -31.0815
J1554-5512 -110.9773 -34.0286
J1555+01 -123.4942 21.0395
J1555-0515 -122.119 14.7749
J1555-2341 -118.2906 -3.2506
J1555-2908 -117.1296 -8.5823
J1555-3134 -116.6958 -10.9768
J1556-5358 -110.9715 -32.7613
J1557-4258 -113.8032 -22.0387
J1557-5151 -111.4611 -30.6706
J1558-5419 -110.5633 -33.0285
J1558-5756 -109.5148 -36.5414
J1558-67 -106.0786 -45.8507
J1559-44 -113.1773 -22.9645
J1559-4438 -112.8927 -23.5682
J1559-5545 -110.0372 -34.4027
J1600-3053 -115.6523 -10.0718
J1600-5044 -111.1618 -29.465
J1600-5751 -109.2497 -36.3976
J1600-5916 -108.7648 -37.7734
J1601-50 -111.1625 -29.0997
J1601-5244 -110.5325 -31.3884
J1601-5335 -110.2201 -32.2091
J1602+3901 -135.8515 57.8654
J1602-4957 -111.11 -28.6537
J1602-5100 -110.8412 -29.6697
J1603+18 -126.1533 38.7064
J1603-1655 -117.8983 3.7303
J1603-2531 -116.24 -4.7142
J1603-2712 -115.8959 -6.3737
J1603-3539 -114.0408 -14.6177
J1603-5312 -109.9919 -31.7736
J1603-5657 -109.0012 -35.4281
J1603-7202 -103.4797 -49.963
J1604-3142 -114.6933 -10.7023
J1604-44 -111.9595 -23.4535
J1604-4718 -111.3629 -25.993
J1604-4909 -110.9347 -27.8061
J1604-7203 -103.3704 -49.9577
J1605+3249 -131.1828 52.2402
J1605-5215 -109.9889 -30.7952
J1605-5257 -109.8153 -31.4756
J1607-0032 -120.1863 19.9879
J1607-5140 -109.7027 -30.1328
J1607-6449 -105.8497 -42.9251
J1609-1930 -116.0223 1.4672
J1609-4616 -110.64 -24.7903
J1609-5158 -109.3443 -30.3724
J1610-1322 -116.7733 7.5631
J1610-17 -116.0754 3.1552
J1610-5006 -109.5663 -28.5114
J1610-5303 -108.9384 -31.4139
J1611-01 -119.0054 19.2707
J1611-29 -113.8406 -7.7882
J1611-4811 -109.9559 -26.6245
J1611-4949 -109.4461 -28.2038
J1611-5209 -109.0182 -30.5
J1611-5847 -107.1399 -36.954
J1612+2008 -123.9405 40.4603
J1612-2408 -114.413 -2.9455
J1612-49 -109.3329 -27.7922
J1612-5022 -109.1946 -28.7194
J1612-5136 -108.983 -29.94
J1612-55 -108.0862 -33.3917
J1612-5805 -107.2401 -36.2505
J1613-4714 -109.7215 -25.6081
J1613-5211 -108.5489 -30.4474
J1613-5234 -108.4137 -30.8135
J1614+0737 -119.9734 28.366
J1614-2230 -114.2117 -1.2568
J1614-23 -114.2184 -2.0112
J1614-3846 -111.2225 -17.2567
J1614-3937 -111.0951 -18.097
J1614-5048 -108.7917 -29.0733
J1614-5144 -108.4699 -29.9813
J1614-5402 -107.9035 -32.2291
J1615-2940 -112.662 -8.2567
J1615-4958 -108.7866 -28.2212
J1615-5137 -108.4089 -29.8407
J1615-5444 -107.7006 -32.9042
J1615-5537 -107.3717 -33.7396
J1616-5017 -108.4987 -28.4967
J1616-5109 -108.2992 -29.3462
J1616-5208 -108.0921 -30.322
J1617-4216 -110.0098 -20.6094
J1617-4608 -109.194 -24.3957
J1617-5055 -108.1805 -29.0862
J1618-36 -110.9545 -14.4495
J1618-3921 -110.3915 -17.6938
J1618-4624 -108.8976 -24.6152
J1618-4723 -108.836 -25.6013
J1619-3345 -111.2661 -12.1558
J1619-42 -109.7258 -20.3061
J1620-4927 -107.9284 -27.5547
J1620-5414 -106.9396 -32.2654
J1621-5039 -107.6014 -28.7245
J1621-5243 -106.9982 -30.7267
J1622-0315 -115.5509 18.0536
J1622-3751 -109.9095 -16.0915
J1622-4332 -108.7303 -21.6699
J1622-4347 -108.7324 -21.9223
J1622-4802 -107.8438 -26.0921
J1622-4845 -107.8194 -26.8385
J1622-4944 -107.5217 -27.7726
J1622-4950 -107.4775 -27.8739
J1622-6617 -103.393 -43.9835
J1623-0841 -114.416 12.7287
J1623-0908 -114.4427 12.2645
J1623-2631 -111.5012 -4.8727
J1623-4256 -108.6402 -21.0525
J1623-4949 -107.2747 -27.8091
J1623-5005 -107.3697 -28.0993
J1624+5850 -156.0776 76.6903
J1624+8643 93.7928 69.5194
J1624-39 -109.084 -17.9807
J1624-4041 -108.983 -18.8182
J1624-4411 -108.3014 -22.2609
J1624-4613 -107.923 -24.2553
J1624-4721 -107.5884 -25.3593
J1625-0021 -115.5102 21.0063
J1625-4048 -108.7639 -18.8986
J1625-4904 -107.1763 -27.0388
J1625-4913 -107.1504 -27.1901
J1626-44 -107.7652 -22.3509
J1626-4537 -107.5669 -23.5951
J1626-4807 -107.1075 -26.0681
J1626-6621 -102.8214 -43.9566
J1627+1419 -117.9403 35.5411
J1627+3219 -123.4097 53.1301
J1627-4706 -107.1619 -25.0433
J1627-4845 -106.9015 -26.6656
J1627-49 -106.5794 -27.7804
J1627-51 -106.3662 -28.9998
J1627-5547 -105.3918 -33.5895
J1627-5936 -104.4087 -37.3228
J1628+4406 -130.0868 64.4121
J1628-3205 -109.6291 -10.2097
J1628-4804 -106.7988 -25.9698
J1628-4828 -106.7105 -26.3573
J1629+33 -123.3415 53.8375
J1629-3636 -108.592 -14.6117
J1629-3825 -108.3633 -16.4209
J1629-6902 -101.5759 -46.5176
J1630+3550 -124.1216 56.667
J1630+3734 -125.0271 58.3305
J1630-2609 -110.04 -4.2673
J1630-4719 -106.6482 -25.1805
J1630-4733 -106.4992 -25.3838
J1631-1612 -111.2188 5.6167
J1631-4155 -107.3671 -19.8061
J1632-1013 -111.8789 11.5791
J1632-4509 -106.6314 -22.972
J1632-4621 -106.3057 -24.1502
J1632-4757 -106.1203 -25.7402
J1632-4818 -105.985 -26.0801
J1633-2009 -110.1507 1.7773
J1633-4453 -106.3842 -22.6646
J1633-4805 -105.9471 -25.8498
J1633-5015 -105.563 -27.9815
J1634+02 -113.4521 24.2899
J1634-4229 -106.6982 -20.2912
J1634-49 -105.3669 -27.5614
J1634-5107 -105.2049 -28.8177
J1634-5640 -104.0511 -34.2811
J1635+2332 -117.9659 44.9396
J1635+2418 -118.0825 45.7125
J1635-1511 -110.4317 6.7607
J1635-4513 -105.9219 -22.9399
J1635-4735 -105.5276 -25.278
J1635-4944 -105.134 -27.4025
J1635-5954 -103.2066 -37.4409
J1636-2614 -108.7577 -4.1612
J1636-4440 -105.9472 -22.3863
J1636-4803 -105.3217 -25.7298
J1636-4933 -104.9892 -27.1887
J1637-4335 -105.8041 -21.2747
J1637-4450 -105.614 -22.5078
J1637-4553 -105.4237 -23.5434
J1637-46 -105.4402 -23.8755
J1637-4642 -105.4273 -24.3668
J1637-4721 -105.3244 -25.0069
J1637-4816 -105.0219 -25.8945
J1638+4005 -123.6316 61.1741
J1638-35 -107.1065 -12.7702
J1638-3815 -106.4979 -15.9697
J1638-3951 -106.3265 -17.5783
J1638-4233 -105.878 -20.2438
J1638-4344 -105.6024 -21.3874
J1638-44 -105.5637 -22.3248
J1638-4417 -105.5358 -21.9341
J1638-4608 -105.3062 -23.776
J1638-4725 -105.1224 -25.054
J1638-5226 -104.0975 -29.9965
J1639-4359 -105.5159 -21.6417
J1639-4604 -105.1355 -23.6903
J1640+2224 -116.0109 44.0585
J1640-4631 -104.8059 -24.1007
J1640-4648 -104.7468 -24.3818
J1640-4715 -104.7801 -24.8395
J1640-4951 -104.253 -27.3873
J1641+3627A -120.4268 57.8431
J1641+3627B -120.4197 57.8221
J1641+3627C -120.4244 57.8399
J1641+3627D -120.4193 57.8479
J1641+3627E -120.4224 57.8494
J1641+3627F -120.412 57.8626
J1641+8049 101.8729 74.8942
J1641-2347 -107.9497 -1.5717
J1641-5317 -103.5514 -30.7797
J1643+1338 -112.9234 35.5831
J1643-1224 -108.9128 9.7783
J1643-4505 -104.488 -22.6126
J1643-4522 -104.4985 -22.8876
J1643-4550 -104.4457 -23.3671
J164310 -109.3978 12.1524
J1644-33 -106.129 -10.6185
J1644-44 -104.4408 -21.6678
J1644-4559 -104.1251 -23.4641
J1644-46 -104.1913 -23.9245
J1644-4657 -104.0089 -24.4333
J1645+1012 -111.7952 32.2466
J1645-0317 -109.8138 18.86
J1646-1910 -107.3944 3.1632
J1646-2142 -107.0761 0.6531
J1646-4308 -104.1449 -20.589
J1646-4346 -104.0659 -21.2268
J1646-5123 -102.9508 -28.7698
J1646-6831 -99.4546 -45.6906
J1647+6608 174.9821 82.7469
J1647-3607 -104.9285 -13.6096
J1647-4552 -103.7016 -23.2943
J1648-3256 -105.2686 -10.4532
J1648-4458 -103.6345 -22.3804
J1648-4611 -103.4308 -23.5799
J1648-6044 -100.9179 -37.9735
J1649+2533 -113.792 47.5507
J1649-3012 -105.4197 -7.7059
J1649-3805 -104.2566 -15.525
J1649-3935 -104.2003 -17.026
J1649-4349 -103.5826 -21.2129
J1649-4653 -103.1348 -24.2481
J1649-4729 -103.0651 -24.8572
J1649-5553 -101.6992 -33.1686
J1650-1654 -106.6924 5.5257
J1650-4126 -103.7355 -18.8317
J1650-4341 -103.331 -21.0506
J1650-4502 -103.1846 -22.396
J1650-4601 -103.0906 -23.3712
J1650-4921 -102.5578 -26.6655
J1651+14 -110.9551 36.5595
J1651-1709 -106.4066 5.3135
J1651-4246 -103.2484 -20.111
J1651-4519 -102.8789 -22.6381
J1651-5222 -101.898 -29.6464
J1651-5255 -101.8175 -30.189
J1651-7642 -96.5941 -53.6661
J1652+2651 -113.3738 48.9313
J1652-1400 -106.5984 8.4614
J1652-2404 -105.268 -1.5086
J1652-4406 -102.8452 -21.4063
J1652-4838 -102.2256 -26.0202
J1653-0158 -107.7319 20.4469
J1653-2054 -105.5034 1.6339
J1653-3838 -103.4084 -15.9686
J1653-4030 -103.196 -17.8189
J1653-4105 -103.1508 -18.408
J1653-4249 -102.882 -20.117
J1653-4315 -102.86 -20.5504
J1653-45 -102.5159 -22.5594
J1653-4854 -102.0124 -26.1612
J1654-23 -105.0785 -1.003
J1654-26 -104.6031 -3.9902
J1654-2713 -104.591 -4.6048
J1654-3710 -103.366 -14.4972
J1654-4140 -102.8869 -18.965
J1654-4245 -102.754 -20.0453
J1655-3048 -103.9633 -8.1518
J1655-3844 -102.9973 -16.0197
J1656+00 -107.2275 22.9309
J1656+6203 -154.3524 81.786
J1656-3621 -103.0906 -13.6454
J1657+3304 -113.2053 55.2704
J1657-0406A -106.5428 18.4412
J1657-0406B -106.5428 18.4412
J1657-4432 -101.9068 -21.7422
J1658+3630 -114.2124 58.6609
J1658-2823 -103.6555 -5.6764
J1658-4306 -101.9533 -20.3128
J1658-47 -101.4246 -24.3696
J1658-4958 -100.9697 -27.1235
J1658-5324 -100.5473 -30.5227
J1659-1305 -104.8414 9.5825
J1659-4316 -101.6136 -20.4325
J1659-4439 -101.5037 -21.8116
J1659-54 -100.3381 -31.1032
J1700-0954 -105.1392 12.7431
J1700-3312 -102.5328 -10.4144
J1700-3611 -102.2289 -13.3847
J1700-3919 -101.9799 -16.4953
J1700-4012 -101.826 -17.3787
J1700-4422 -101.3006 -21.5128
J1700-4939 -100.75 -26.7697
J1701-3006A -102.785 -7.3191
J1701-3006B -102.7838 -7.3243
J1701-3006C -102.7828 -7.3271
J1701-3006D -102.7808 -7.3221
J1701-3006E -102.7817 -7.3234
J1701-3006F -102.7832 -7.325
J1701-3006G -102.7792 -7.3218
J1701-3130 -102.5298 -8.7024
J1701-3726 -101.9958 -14.6107
J1701-4533 -101.0485 -22.6837
J1701-4958 -100.5583 -27.0738
J1702-3932 -101.5806 -16.6839
J1702-4128 -101.2442 -18.5966
J1702-4217 -101.2082 -19.401
J1702-4306 -101.1452 -20.2282
J1702-4310 -101.1392 -20.2933
J1702-4428 -100.9115 -21.5677
J1703-18 -103.4043 3.9687
J1703-1846 -103.3099 4.0223
J1703-3241 -102.0573 -9.848
J1703-38 -101.483 -15.3228
J1703-4442 -100.795 -21.8017
J1703-4851 -100.2081 -25.9234
J1704-3756 -101.1999 -15.0395
J1704-5236 -99.613 -29.6372
J1704-6016 -98.6288 -37.2592
J1705-04 -104.4291 18.0699
J1705-1903 -102.898 3.6963
J1705-1906 -102.8645 3.7233
J1705-3423 -101.3978 -11.4915
J1705-3936 -100.8977 -16.6817
J1705-3950 -100.8972 -16.9245
J1705-4108 -100.7946 -18.217
J1705-4331 -100.4939 -20.5754
J1705-6135 -98.2756 -38.5408
J1706+59 -135.3189 80.4901
J1706-3839 -100.8447 -15.7284
J1706-4310 -100.4388 -20.2205
J1706-4434 -100.2304 -21.6106
J1706-6118 -98.1813 -38.2457
J1707+35 -110.7563 58.4216
J1707-4053 -100.4203 -17.9342
J1707-4341 -100.078 -20.704
J1707-4417 -100.0116 -21.3028
J1707-4729 -99.7513 -24.499
J1708+02 -104.1388 24.6131
J1708-3426 -100.7106 -11.4795
J1708-3506 -100.7895 -12.1499
J1708-3641 -100.5785 -13.7207
J1708-3827 -100.4767 -15.4898
J1708-4008 -100.2127 -17.1615
J1708-4522 -99.7983 -22.3809
J1708-52 -99.1084 -28.971
J1708-7539 -95.2428 -52.4536
J1709+2313 -106.9174 45.9191
J1709-1640 -102.1724 6.2241
J1709-3626 -100.3647 -13.4459
J1709-3841 -100.2547 -15.6992
J1709-43 -99.6488 -20.8923
J1709-4342 -99.721 -20.6896
J1709-4401 -99.6561 -21.0012
J1709-4429 -99.6054 -21.4647
J1710+4923 -116.5822 71.6756
J1710-2616 -101.1915 -3.3206
J1710-37 -100.1143 -14.4942
J1710-4148 -99.7347 -18.7842
J1711-1509 -101.7059 7.7911
J1711-3826 -99.7776 -15.4066
J1711-4322 -99.4324 -20.341
J1711-5350 -98.2258 -30.7421
J1712-2715 -100.6368 -4.2657
J1712-391 -99.4939 -16.6673
J1712-392 -99.4939 -16.6673
J1713+0747 -103.3313 30.7004
J1713+7810 101.388 77.9171
J1713-3844 -99.4885 -15.688
J1713-3949 -99.3085 -16.7526
J1714-1054 -101.3813 12.0896
J1714-3810 -99.3233 -15.1067
J1714-3830 -99.2477 -15.4329
J1715+46 -111.4491 68.668
J1715-3247 -99.4951 -9.7192
J1715-3700 -99.204 -13.9193
J1715-3859 -98.9445 -15.8948
J1715-3903 -99.0195 -15.9597
J1715-4034 -98.8026 -17.4703
J1715-4254 -98.7013 -19.8136
J1716+34 -106.8964 57.4008
J1716-3720 -98.9655 -14.2465
J1716-4005 -98.6397 -16.9757
J1716-4111 -98.5424 -18.0669
J1716-4711 -98.1612 -24.0553
J1717+03 -101.7183 26.1958
J1717+4308A -109.3852 65.8535
J1717-3425 -98.9575 -11.3083
J1717-3737 -98.7233 -14.5103
J1717-3847 -98.6235 -15.6639
J1717-3953 -98.5107 -16.7733
J1717-4043 -98.3698 -17.5973
J1717-40435 -98.5219 -17.6032
J1717-4054 -98.3291 -17.9197
J1717-5800 -96.8194 -34.8129
J1718-3714 -98.5402 -14.107
J1718-3718 -98.5642 -14.1855
